Operation,Run,Time (seconds)
Decode,374,3.18ms
Decode,375,3.30ms
Decode,376,3.37ms
Decode,377,3.61ms
Decode,378,3.52ms
Decode,379,3.83ms
Decode,380,3.60ms
Decode,381,3.74ms
Decode,382,3.52ms
Decode,383,4.17ms
Decode,384,3.63ms
Decode,385,4.00ms
Decode,386,3.63ms
Decode,387,3.97ms
Decode,388,3.64ms
Decode,389,3.84ms
Decode,390,3.48ms
Decode,391,3.90ms
Decode,392,3.46ms
Decode,393,3.80ms
Decode,394,4.08ms
Decode,395,3.61ms
Decode,396,3.66ms
Decode,397,3.63ms
Decode,398,3.97ms
Decode,399,4.02ms
Decode,400,3.58ms
Decode,401,3.49ms
Decode,402,3.72ms
Decode,403,3.37ms
Decode,404,3.73ms
Decode,405,3.33ms
Decode,406,3.56ms
Decode,407,3.18ms
Decode,408,3.25ms
Decode,409,3.71ms
Decode,410,3.28ms
Decode,411,3.58ms
Decode,412,3.50ms
Decode,413,3.36ms
Decode,414,3.62ms
Decode,415,3.32ms
Decode,416,3.54ms
Decode,417,3.23ms
Decode,418,3.25ms
Decode,419,3.51ms
Decode,420,3.38ms
Decode,421,3.82ms
Decode,422,3.38ms
Decode,423,3.22ms
Decode,424,3.63ms
Decode,425,3.39ms
Decode,426,3.27ms
Decode,427,3.37ms
Decode,428,3.36ms
Decode,429,3.33ms
Decode,430,3.55ms
Decode,431,3.58ms
Decode,432,3.60ms
Decode,433,3.75ms
Decode,434,3.40ms
Decode,435,3.78ms
Decode,436,3.37ms
Decode,437,3.68ms
Decode,438,3.36ms
Decode,439,3.19ms
Decode,440,3.68ms
Decode,441,3.42ms
Decode,442,3.73ms
Decode,443,3.53ms
Decode,444,3.28ms
Decode,445,3.24ms
Decode,446,3.42ms
Decode,447,3.48ms
Decode,448,3.43ms
Decode,449,3.41ms
Decode,450,3.21ms
Decode,451,3.40ms
Decode,452,3.87ms
Decode,453,3.30ms
Decode,454,3.73ms
Decode,455,3.26ms
Decode,456,3.52ms
Decode,457,3.75ms
Decode,458,3.35ms
Decode,459,3.67ms
Decode,460,3.61ms
Decode,461,3.58ms
Decode,462,3.52ms
Decode,463,3.51ms
Decode,464,3.67ms
Decode,465,3.36ms
Decode,466,3.43ms
Decode,467,3.22ms
Decode,468,3.59ms
Decode,469,3.38ms
Decode,470,3.75ms
Decode,471,3.37ms
Decode,472,3.46ms
Decode,473,3.56ms
Decode,474,3.52ms
Decode,475,3.56ms
Decode,476,3.61ms
Decode,477,3.44ms
Decode,478,3.84ms
Decode,479,3.39ms
Decode,480,3.90ms
Decode,481,3.31ms
Decode,482,3.60ms
Decode,483,3.30ms
Decode,484,3.23ms
Decode,485,3.56ms
Decode,486,3.52ms
Decode,487,3.58ms
Decode,488,3.60ms
Decode,489,3.42ms
Decode,490,3.26ms
Decode,491,3.56ms
Decode,492,3.64ms
Decode,493,3.41ms
Decode,494,3.92ms
Decode,495,3.31ms
Decode,496,4.00ms
Decode,497,3.31ms
Decode,498,3.55ms
Decode,499,3.28ms
Decode,500,3.22ms
Decode,501,3.53ms
Decode,502,3.34ms
Decode,503,3.32ms
Decode,504,3.33ms
Decode,505,3.57ms
Decode,506,3.60ms
Decode,507,3.24ms
Decode,508,3.18ms
Decode,509,3.84ms
Decode,510,3.18ms
Decode,511,3.56ms
Decode,512,3.26ms
Decode,513,3.15ms
Decode,514,3.55ms
Decode,515,3.44ms
Decode,516,3.34ms
Decode,517,3.19ms
Decode,518,3.43ms
Decode,519,3.54ms
Decode,520,3.29ms
Decode,521,3.31ms
Decode,522,3.29ms
Decode,523,3.41ms
Decode,524,3.61ms
Decode,525,3.20ms
Decode,526,3.47ms
Decode,527,3.27ms
Decode,528,3.65ms
Decode,529,3.73ms
Decode,530,3.50ms
Decode,531,3.61ms
Decode,532,3.55ms
Decode,533,3.53ms
Decode,534,3.79ms
Decode,535,3.53ms
Decode,536,3.87ms
Decode,537,3.41ms
