Operation,Run,Time (seconds)
Decode,189,3.79ms
Decode,190,4.10ms
Encode,190,1.15ms
Decode,190,3.85ms
Decode,191,3.86ms
Encode,191,944.79µs
Decode,191,4.50ms
Decode,192,3.70ms
Encode,192,845.71µs
Decode,192,5.01ms
Decode,193,4.54ms
Encode,193,1.12ms
Decode,193,3.70ms
Decode,194,4.03ms
Encode,194,1.13ms
Decode,194,4.09ms
Decode,195,3.96ms
Encode,195,1.09ms
Decode,195,3.79ms
Decode,196,3.85ms
Encode,196,882.25µs
Decode,196,4.04ms
Decode,197,3.85ms
Encode,197,856.54µs
Decode,197,4.24ms
Decode,198,3.62ms
Encode,198,1.16ms
Decode,198,4.09ms
Decode,199,3.72ms
Encode,199,1.01ms
Decode,199,4.65ms
Decode,200,4.31ms
Encode,200,972.25µs
Decode,200,3.99ms
Decode,201,4.21ms
Encode,201,927.00µs
Decode,201,4.46ms
Decode,202,3.88ms
Encode,202,876.96µs
Decode,202,4.39ms
Decode,203,3.49ms
Encode,203,807.04µs
Decode,203,4.53ms
Decode,204,4.08ms
Encode,204,1.21ms
Decode,204,4.59ms
Decode,205,4.48ms
Encode,205,933.21µs
Decode,205,4.84ms
Decode,206,4.62ms
Encode,206,901.29µs
Decode,206,3.93ms
Decode,207,4.12ms
Encode,207,1.08ms
Decode,207,4.61ms
Decode,208,5.05ms
Encode,208,1.20ms
Decode,208,4.99ms
Decode,209,4.97ms
Encode,209,892.00µs
Decode,209,5.08ms
Decode,210,3.93ms
Encode,210,901.63µs
Decode,210,4.37ms
Decode,211,4.58ms
Encode,211,939.96µs
Decode,211,4.85ms
Decode,212,4.54ms
Encode,212,1.05ms
Decode,212,4.13ms
Decode,213,4.29ms
Encode,213,937.42µs
Decode,213,4.35ms
Decode,214,4.59ms
Encode,214,862.67µs
Decode,214,4.54ms
Decode,215,4.44ms
Encode,215,955.00µs
Decode,215,4.35ms
Decode,216,4.18ms
Encode,216,977.42µs
Decode,216,4.33ms
Decode,217,4.34ms
Encode,217,903.92µs
Decode,217,3.95ms
Decode,218,4.03ms
Encode,218,878.08µs
Decode,218,4.61ms
Decode,219,3.73ms
Encode,219,845.21µs
Decode,219,3.99ms
Decode,220,3.73ms
Encode,220,906.25µs
Decode,220,4.12ms
Decode,221,3.76ms
Encode,221,1.15ms
Decode,221,4.74ms
Decode,222,4.57ms
Encode,222,1.14ms
Decode,222,4.48ms
Decode,223,4.03ms
Encode,223,1.07ms
Decode,223,4.52ms
Decode,224,4.26ms
Encode,224,1.05ms
Decode,224,4.04ms
Decode,225,3.86ms
Encode,225,1.03ms
Decode,225,3.99ms
Decode,226,4.58ms
Encode,226,1.29ms
Decode,226,4.23ms
Decode,227,4.49ms
Encode,227,1.11ms
Decode,227,5.58ms
Decode,228,4.53ms
Encode,228,2.14ms

Decode,229,5.87ms
Encode,229,1.10ms

Decode,230,9.73ms
Encode,230,954.04µs
Decode,230,6.87ms
Decode,231,4.03ms
Encode,231,884.92µs
Decode,231,4.97ms
Decode,232,4.25ms
Encode,232,993.21µs
Decode,232,4.34ms
Decode,233,3.89ms
Encode,233,1.12ms
Decode,233,4.28ms
Decode,234,4.46ms
Encode,234,863.17µs
Decode,234,3.63ms
Decode,235,4.60ms
Encode,235,983.42µs
Decode,235,5.25ms
Decode,236,3.66ms
Encode,236,872.92µs
Decode,236,4.58ms
Decode,237,4.05ms
Encode,237,968.54µs
Decode,237,3.61ms
Decode,238,4.65ms
Encode,238,857.58µs
Decode,238,3.41ms
Decode,239,4.76ms
Encode,239,979.75µs
Decode,239,4.52ms
Decode,240,3.81ms
Encode,240,918.63µs
Decode,240,5.54ms
Decode,241,5.46ms
Encode,241,1.22ms
Decode,241,5.24ms
